,question_de,answer_de,max_points,keywords,student_answer,human_score,human_feedback,rueckfrage,error_type
26,Was ist ein Markov-Entscheidungsprozess (MDP)?,"Ein Markov-Entscheidungsprozess (MDP) ist ein mathematisches Rahmenwerk, das zur Modellierung von sequenziellen Entscheidungsproblemen verwendet wird, bei denen ein Agent mit einer Umgebung interagiert.",4,Markov-Entscheidungsprozess; mathematisches Rahmenwerk; sequenzielle Entscheidungsprobleme; Agent; Umgebung,"Puh, da muss ich scharf nachdenken. Markov-Entscheidungsprozess hatte irgendwas mit einem Rahmenwerk zu tun. Da wurde etwas modelliert, wie man Entscheidungsprobleme angehen kann. Ein Agent spielte, glaube ich, auch eine Rolle.",1,"Die Antwort ist fachlich nicht korrekt und wird weder klar noch verständlich formuliert. Zentrale Aspekte der Fragestellung bleiben unbeantwortet, da das Konzept eines Markov-Entscheidungsprozesses nicht sinnvoll beschrieben wird. Zudem fehlen mehrere notwendige Schlüsselbegriffe, und die vorhandenen Konzepte werden nicht klar voneinander abgegrenzt. Die Darstellung ist insgesamt nicht logisch aufgebaut und erschwert dem Prüfer das Verständnis. Eine Rückfrage zur Rolle des Agents sowie zum Zusammenhang zwischen Rahmenwerk und Modellierung wäre sinnvoll.",3,3
27,Was ist ein Autoencoder?,"Ein Autoencoder ist eine Art von neuronalen Netzarchitektur, die darauf trainiert wird, ihre Eingabedaten auf der Ausgabeschicht zu rekonstruieren.",4,Autoencoder; neuronale Netzarchitektur; rekonstruieren; Eingabedaten,"Das ist eine neuronale Netzwerkarchitektur, welche darauf spezialisiert ist, ihre Eingabedaten auf der Ausgabeschicht zu rekonstruieren.",4,"Die Antwort ist fachlich korrekt und enthält keine inhaltlichen Fehler. Die notwendigen Schlüsselbegriffe werden genannt, wobei der Begriff „Autoencoder“ implizit korrekt verwendet wird. Alle wesentlichen Aspekte der Fragestellung werden abgedeckt, sodass die Frage vollumfänglich beantwortet ist. Das Konzept ist klar abgegrenzt und nicht mit anderen Ansätzen vermischt. Die Darstellung ist für den Prüfer gut nachvollziehbar, eine Rückfrage ist nicht erforderlich.",0,0
28,Was ist die 'Fluch der Dimensionalität' im Kontext der Merkmalsauswahl?,"Der Fluch der Dimensionalität in der Merkmalsauswahl bezieht sich auf die Herausforderungen und Einschränkungen, die durch hochdimensionale Daten entstehen, wie z.B. erhöhte Rechenkomplexität und Schwierigkeiten bei der Identifikation sinnvoller Merkmale.",6,Fluch der Dimensionalität; Merkmalsauswahl; hochdimensionale Daten; Rechenkomplexität; sinnvolle Merkmale,"Da bin ich mir nicht so sicher, aber ich glaube das bezog sich auf die Herausforderungen und Einschränkungen, die durch hochdimensionale Daten entstehen. Hierzu zählten, glaube ich, zum Beispiel erhöhte Rechenkomplexität und Schwierigkeiten bei der Identifikation sinnvoller Merkmale.",6,"Die Antwort ist zwar etwas unsicher formuliert, aber inhaltlich korrekt und vollständig. Alle relevanten Schlüsselbegriffe, die nicht bereits in der Frage enthalten sind, werden genannt und im passenden Kontext verwendet. Sämtliche wesentlichen Aspekte der Fragestellung werden abgedeckt, sodass keine zentralen Punkte fehlen. Das Konzept des Fluchs der Dimensionalität wird korrekt abgegrenzt und nicht mit anderen Inhalten vermischt. Die Argumentation ist für den Prüfer nachvollziehbar, eine Rückfrage ist nicht erforderlich.",0,0
29,Was ist der Unterschied zwischen k-Means-Clustering und hierarchischem Clustering?,"Das k-Means-Clustering partitioniert die Daten in k Cluster, indem es die Summe der quadrierten Abweichungen innerhalb der Cluster minimiert. Das hierarchische Clustering erstellt hingegen eine baumartige Hierarchie von Clustern, indem es rekursiv Cluster basierend auf deren Nähe zusammenführt oder aufteilt.",6,k-Means-Clustering; Partitionierung; Summe der quadrierten Abweichungen; hierarchisches Clustering; baumartige Hierarchie; rekursive Mergen/Splitting,"Das k-Means-Clustering partitioniert die Daten in k Cluster, indem es das Quadrat der Summen der Abweichungen innerhalb der Cluster minimiert. Das hierarchische Clustering erstellt dagegen eine Hierarchie von Clustern, indem es rekursiv Cluster basierend auf dem größten Abstand zusammenführt.",3,"Die Antwort enthält inhaltliche Fehler, da der Student die Konzepte von k-Means-Clustering und hierarchischem Clustering verwechselt und die Art der Clusterbildung bei beiden Verfahren inkorrekt beschreibt. Zwar werden die relevanten Schlüsselbegriffe genannt, diese werden jedoch teilweise im falschen Kontext verwendet oder vertauscht. Die Frage wird formal vollständig beantwortet, inhaltlich ist die Darstellung jedoch nicht korrekt. Zwar werden die beiden Verfahren voneinander unterschieden, die beschriebenen Mechanismen der Clusterbildung sind jedoch fehlerhaft. Eine Rückfrage, etwa zur grundlegenden Definition eines Clusters im hierarchischen Clustering, wäre sinnvoll.",3,2
30,Welche Rolle spielt die Regularisierung bei der Reduktion der Modellkomplexität?,"Regularisierung in Machine Learning reduziert die Modellkomplexität, indem sie Strafterme zur Verlustfunktion hinzufügt. Dies fördert einfachere Modelle mit kleineren Koeffizienten oder weniger Features.",6,Regularisierung; Modellkomplexität; Strafterme; Verlustfunktion; Koeffizienten; Features,Regularisierung fördert Modelle mit kleineren Koeffizienen oder wenigen Features.,3,"Die Antwort ist in den genannten Teilen fachlich korrekt, bleibt jedoch unvollständig, da die Funktionsweise der Regularisierung nicht erläutert wird. Mehrere relevante Schlüsselbegriffe fehlen, die verwendeten Begriffe sind jedoch im richtigen Kontext eingesetzt. Ein wesentlicher Aspekt der Fragestellung, nämlich wie Regularisierung konkret die Modellkomplexität reduziert, wird nicht behandelt. Das Konzept wird grundsätzlich klar abgegrenzt und die Darstellung ist logisch sowie nachvollziehbar aufgebaut. Eine Rückfrage zur konkreten Funktionsweise der Regularisierung wäre daher sinnvoll.",2,0
31,Erkläre das Bias-Variance-Trade-off.,"Das Bias-Variance-Trade-off ist der Kompromiss zwischen dem Fehler, der durch Bias (Unteranpassung) und den Fehler, der durch Varianz (Überanpassung) eingeführt wird, wenn ein maschinelles Lernmodell erstellt wird.",6,Bias-Variance-Trade-off; Bias; Variance; Unteranpassung; Überanpassung; Maschinelles Lernen,"Dieser Trade-off ist der Kompromiss zwischen den Fehlern beim Erstellen eines maschinellen Modells, welche durch Bias, also die Überanpassung und durch Varianz eingeführt wird.",4,"1) Die Antwort wurde, bis auf eine Verwechslung in der Erklärung eines Begriffes, fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt und größtenteils im richtigen Kontext verwendet. Bias wurde fälschlicherweise als Überanpassung bezeichnet 3) Die Fragestellung wurde beantwortet 4) Es wurden die Konzepte Bias und Varianz vermischt 5) Die Antwort ist an sich logisch aufgebaut, durch die Verwechslung wird allerdings fraglich, ob lediglich Aufregung oder ein falsches Verständnis die Nachvollziehbarkeit reduzierte.",3,1
32,Wie gehst du mit fehlenden Daten in einem Datensatz um?,"Fehlende Daten können durch Imputationsverfahren wie die Imputation mit dem Mittelwert, Median oder Modus behandelt werden, indem prädiktive Modelle zur Schätzung der fehlenden Werte verwendet werden oder indem Zeilen oder Spalten mit fehlenden Werten gelöscht werden, abhängig von der Größe und Art des Datensatzes.",6,Imputation; Mittelwert; Median; Modus; prädiktive Modelle; Löschen von Zeilen oder Spalten,"So dies möglich erscheint, werden mit der Hilfe mathematischer Verfahren der Statistik fehlende Werte ergänzt. Hier kommen zum Beispiel Mittelwert, Median oder Modus in Frage. Dabei können Vorhersagemodelle unterstützen. Ist dies nicht sinnvoll möglich, können Werte durch NaN ersetzt werden, sodass diese in Berechnungen keine Berücksichtigung finden. Je nach Größe und Beschaffenheit des Datensatzes kann auch die Löschung ganzer Zeilen oder Spalten eine Option darstellen.",6,1) Die Antwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt und im richtigen Kontext verwendet 3) Die Fragestellung wurde beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist logisch aufgebaut sowie nachvollziehbar und verständlich formuliert.,0,1
33,Was ist der Unterschied zwischen Klassifikation und Regression?,"Die Klassifikation ist eine überwachte Lernaufgabe, bei der das Ziel darin besteht, kategoriale Labels oder Klassen vorherzusagen, während die Regression ebenfalls eine überwachte Lernaufgabe ist, bei der das Ziel darin besteht, kontinuierliche numerische Werte vorherzusagen.",4,Klassifikation; Überwachtes Lernen; kategoriale Labels oder Klassen; Regression; kontinuierliche numerische Werte,"Beides sind überwachte Lernaufgaben, wobei Ersteres dazu dient Labels oder Klassen vorherzusagen und Letzteres zielt auf die Vorhersage von kontinuierlichen numerischen Werten ab.",4,"1) Die Antwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe, welche nicht bereits in der Frage vorkamen, wurden genannt und im richtigen Kontext verwendet 3) Die Fragestellung wurde beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist logisch aufgebaut sowie nachvollziehbar und verständlich formuliert.",0,0
34,Was ist Regularisierung in neuronalen Netzwerken?,"Regularisierung in neuronalen Netzwerken beinhaltet das Hinzufügen von Straftermen zur Verlustfunktion, um Overfitting zu verhindern.",6,Regularisierung; neuronale Netzwerke; Verlustfunktion; Overfitting,"Regularisierung in neuronalen Netzwerken beinhaltet das Hinzufügen von Straf-Termen zur Verlustfunktion, um Overfitting zu verhindern.",6,1) Die Antwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt und im richtigen Kontext verwendet 3) Die Fragestellung wurde beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist logisch aufgebaut sowie nachvollziehbar und verständlich formuliert.,0,0
35,Was ist Deep Learning?,"Deep Learning ist ein Untergebiet des Machine Learnings, das sich auf künstliche neuronale Netze mit mehreren Schichten konzentriert.",5,Untergebiet; Machine Learning; künstliche neuronale Netze; mehrere Schichten,"Machine Learning ist ein Untergebiet von Deep Learning, welches sich grundsätzlich mit Maschinellem Lernen befasst.",0,1) Die Antwort war fachlich falsch und beantwortet nicht die Fragestellung 2) relevante Schlüsselbegriffe wurden in Teilen genannt aber nicht im richtigen Kontext verwendet 3) Die Fragestellung wurde nicht beantwortet 4) Es wurden Konzepte vermischt 5) Die Antwort ist auf Grund der logischen Brüche nicht nachvollziehbar.,3,0
36,Was ist ein Markov-Entscheidungsprozess (MDP)?,"Ein Markov-Entscheidungsprozess (MDP) ist ein mathematisches Rahmenwerk, das zur Modellierung von sequenziellen Entscheidungsproblemen verwendet wird, bei denen ein Agent mit einer Umgebung interagiert.",4,Markov-Entscheidungsprozess; mathematisches Rahmenwerk; sequenzielle Entscheidungsprobleme; Agent; Umgebung,"Puh, da muss ich scharf nachdenken. Markov-Entscheidungsprozess hatte irgendwas mit einem Rahmenwerk zu tun. Da wurde etwas modelliert, wie man Entscheidungsprobleme angehen kann. Ein Agent spielte, glaube ich, auch eine Rolle.",1,1) Die Antwort enthielt nur wenig fachlich korrekt dargestellte Inhalte 2) relevante Schlüsselbegriffe wurden genannt aber nicht in den richtigen Kontext gesetzt 3) Die Fragestellung wurde nicht beantwortet 4) Konzeptverständnis kann aus der Antwort nicht abgeleitet werden 5) Die Antwort ist schwammig und somit schwer nachvollziehbar.,3,2
37,Was ist ein Autoencoder?,"Ein Autoencoder ist eine Art von neuronalen Netzarchitektur, die darauf trainiert wird, ihre Eingabedaten auf der Ausgabeschicht zu rekonstruieren.",4,Autoencoder; neuronale Netzarchitektur; rekonstruieren; Eingabedaten,"Das ist eine neuronale Netzwerkarchitektur, welche darauf spezialisiert ist, ihre Eingabedaten auf der Ausgabeschicht zu rekonstruieren.",4,1) Die Antwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt und im richtigen Kontext verwendet 3) Die Fragestellung wurde beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist logisch aufgebaut sowie nachvollziehbar und verständlich formuliert.,0,1
38,Was ist die 'Fluch der Dimensionalität' im Kontext der Merkmalsauswahl?,"Der Fluch der Dimensionalität in der Merkmalsauswahl bezieht sich auf die Herausforderungen und Einschränkungen, die durch hochdimensionale Daten entstehen, wie z.B. erhöhte Rechenkomplexität und Schwierigkeiten bei der Identifikation sinnvoller Merkmale.",6,Fluch der Dimensionalität; Merkmalsauswahl; hochdimensionale Daten; Rechenkomplexität; sinnvolle Merkmale,"Da bin ich mir nicht so sicher, aber ich glaube das bezog sich auf die Herausforderungen und Einschränkungen, die durch hochdimensionale Daten entstehen. Hierzu zählten, glaube ich, zum Beispiel erhöhte Rechenkomplexität und Schwierigkeiten bei der Identifikation sinnvoller Merkmale.",6,"1) Obwohl Unsicherheiten erkennbar sind, wurde die Antwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt und im richtigen Kontext verwendet 3) Die Fragestellung wurde beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort wird durch Unsicherheitsfloskeln länger als nötig, aber ist dennoch logisch aufgebaut sowie nachvollziehbar und verständlich formuliert.",0,2
39,Was ist der Unterschied zwischen k-Means-Clustering und hierarchischem Clustering?,"Das k-Means-Clustering partitioniert die Daten in k Cluster, indem es die Summe der quadrierten Abweichungen innerhalb der Cluster minimiert. Das hierarchische Clustering erstellt hingegen eine baumartige Hierarchie von Clustern, indem es rekursiv Cluster basierend auf deren Nähe zusammenführt oder aufteilt.",6,k-Means-Clustering; Partitionierung; Summe der quadrierten Abweichungen; hierarchisches Clustering; baumartige Hierarchie; rekursive Mergen/Splitting,"Das k-Means-Clustering partitioniert die Daten in k Cluster, indem es das Quadrat der Summen der Abweichungen innerhalb der Cluster minimiert. Das hierarchische Clustering erstellt dagegen eine Hierarchie von Clustern, indem es rekursiv Cluster basierend auf dem größten Abstand zusammenführt.","2,5","1) Die Antwort wurde nur in Teilen fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt, allerdings teilweise falsch erklärt 3) Die Fragestellung wurde beantwortet 4) Es wurden Zusammenhänge verdreht 5) Die Antwort ist daher nur in Teilen logisch aufgebaut. Das Verdrehen von Zusammenhängen erschwert die Nachvollziehbarkeit.",3,1
40,Welche Rolle spielt die Regularisierung bei der Reduktion der Modellkomplexität?,"Regularisierung in Machine Learning reduziert die Modellkomplexität, indem sie Strafterme zur Verlustfunktion hinzufügt. Dies fördert einfachere Modelle mit kleineren Koeffizienten oder weniger Features.",6,Regularisierung; Modellkomplexität; Strafterme; Verlustfunktion; Koeffizienten; Features,Regularisierung fördert Modelle mit kleineren Koeffizienen oder wenigen Features.,"4,5","1) Die Teilantwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden nur teilweise genannt, dann aber im richtigen Kontext 3) Die Fragestellung wurde nur in Teilen beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist fiel zu kurz aus. Der genannte Anteil ist aber logisch aufgebaut sowie nachvollziehbar und verständlich formuliert.",2,0
41,Welche Rolle spielt die Regularisierung bei der Reduzierung von Overfitting?,"Regularisierung in Machine Learning reduziert Overfitting, indem sie übermäßig komplexe Modelle bestraft und einfachere Modelle fördert, die besser auf neue Daten verallgemeinern können.",6,Regularisierung; Overfitting; komplexes Modell; einfacheres Modell; Generalisierbarkeit,"Wenn Regularisierung eingesetzt wird, kann man Overfitting reduzieren. Es wird umgesetzt, indem komplexere Modell bestraft werden und somit einfachere Modelle gefördert werden. Diese einfacheren Modelle haben eine bessere Generalisierbarkeit, da sie besser in der Lage sind, neue Daten vorherzusagen.",6,"Die Antwort stellt den Sachverhalt der Regularisierung fachlich korrekt dar und enthält keine inhaltlichen Fehler oder falschen Zusammenhänge. Alle relevanten Schlüsselbegriffe werden korrekt und im passenden Kontext verwendet. Sämtliche wesentlichen Aspekte der Fragestellung werden vollständig abgedeckt, wobei die Konzepte klar voneinander abgegrenzt bleiben. Die Ausführung ist logisch aufgebaut, gut verständlich und für den Prüfer problemlos nachvollziehbar, sodass keine Rückfrage erforderlich ist.",0,2
42,Was ist der Zweck von A/B-Tests im Data Science?,"A/B-Testing wird verwendet, um zwei oder mehr Versionen eines Produkts oder einer Intervention zu vergleichen und festzustellen, welche besser abschneidet basierend auf vordefinierten Metriken wie Konversionsrate oder Nutzerengagement.",6,A/B-Testing; Produkte oder Interventionen; vordefinierte Metriken; Konversionsrate; Nutzerengagement,"A/B-Tests ermöglichen einen Vergleich zwischen Produkten oder Interventionen. Dabei wird gezielt überprüft, welche Version besser abschneidet, indem sie bestimmte vordefinierte Metriken erreicht, wie beispielsweise die Konversionsrate oder das Nutzerengagement.",6,"Die Antwort stellt den Zweck von A/B-Tests fachlich korrekt dar und enthält keine inhaltlichen Fehler. Alle relevanten Schlüsselbegriffe werden korrekt und im passenden Kontext verwendet. Sämtliche von der Frage geforderten Aspekte werden vollständig abgedeckt, wobei das Konzept klar und ohne Vermischungen dargestellt ist. Die Ausführung ist präzise, logisch aufgebaut und für den Prüfer sehr gut nachvollziehbar, sodass keine Rückfrage erforderlich ist.",0,1
43,Welche Rolle spielt das Feature Scaling in der Maschinenlernen?,"Feature Scaling im maschinellen Lernen stellt sicher, dass alle Merkmale die gleiche Skala oder den gleichen Bereich haben und verhindert so, dass bestimmte Merkmale während des Modelltrainings andere dominieren. Gemeinsame Skalierungstechniken sind das Min-Max-Skalieren und die Standardisierung.",6,Feature Scaling; gleiche Skala; Modelldominanz; Min-Max-Skalierung; Standardisierung,"Beim Machine Learning wird Feature Scaling eingesetzt, um alle Merkmale gleich zu skalieren. Dadurch wird verhindert, dass Variablen mit größeren Werten andere dominieren und das Modellverhalten beeinflussen. Häufig genutzte Methoden für diese Anpassung sind Min-Max-Skalierung sowie Standardisierung.",6,"Die Antwort stellt das Konzept des Feature Scalings fachlich korrekt dar und enthält keine inhaltlichen Fehler. Alle relevanten Schlüsselbegriffe werden richtig und im passenden Kontext verwendet. Sämtliche wesentlichen Aspekte der Fragestellung werden vollständig behandelt, ohne dass zentrale Punkte fehlen. Die Konzepte sind klar voneinander abgegrenzt und die Darstellung ist logisch aufgebaut sowie gut verständlich, sodass keine Rückfrage erforderlich ist.",0,2
44,Was ist der Unterschied zwischen Klassifikation und Clusterbildung?,"Klassifikation ist eine überwachte Lernaufgabe, bei der das Ziel darin besteht, kategoriale Labels oder Klassen vorherzusagen. Clustering ist eine unüberwachte Lernaufgabe, deren Ziel es ist, ähnliche Datenpunkte aufgrund ihrer Merkmale zusammenzufassen.",5,Klassifikation; überwachte Lernens; Klassen vorhersagen; Clustering; unüberwachte Lernens; Daten zusammenfassen,"Bei der Klassifikation handelt es sich um eine Aufgabe des überwachten Lernens, bei der das Ziel ist, Datenpunkte vorgegebenen Klassen oder Labels zuzuordnen. Das bedeutet, dass während des Trainings die richtigen Antworten bekannt sind und das Modell lernt, diese Klassen vorherzusagen. Im Gegensatz dazu ist Clustering ein Verfahren des unüberwachten Lernens, bei dem es darum geht, ähnliche Datenpunkte auf Basis ihrer Merkmale ohne vorgegebene Labels zu gruppieren oder zusammenzufassen.",5,"Die Antwort stellt sowohl Klassifikation als auch Clustering fachlich korrekt und vollständig dar, ohne inhaltliche Fehler oder Auslassungen. Alle relevanten Schlüsselbegriffe werden korrekt und im passenden Kontext verwendet. Sämtliche wesentlichen Aspekte der Fragestellung werden behandelt, wobei beide Konzepte klar voneinander abgegrenzt bleiben. Die Darstellung ist logisch aufgebaut und für den Prüfer gut nachvollziehbar, sodass keine Rückfrage erforderlich ist.",0,1
45,Welche Rolle spielt Regularisierung in neuronalen Netzen?,"Regularisierung in neuronalen Netzen hilft, Überanpassung zu verhindern, indem Strafterme zur Verlustfunktion hinzugefügt werden. Dies fördert einfachere Modelle mit kleineren Gewichten oder weniger Verbindungen.",6,Regularisierung; neuronale Netze; Überanpassung; Strafterme; Verlustfunktion; einfache Modelle; Gewichte; Verbindungen,"Regularisierung verringert Überanpassung, indem sie Straftermen zur Verlustfunktion hinzufügt. Dadurch entstehen einfacher Modellen, die entweder kleinere Gewichte aufweisen oder weniger neuronale Verbindungen haben.","5,5","Die Antwort beschreibt die Rolle der Regularisierung in neuronalen Netzen fachlich korrekt und ohne inhaltliche Fehler. Zwar wird der Schlüsselbegriff „neuronale Netze“ nicht explizit genannt, der Kontext macht diesen jedoch eindeutig deutlich. Alle wesentlichen Aspekte der Fragestellung werden vollständig behandelt, wobei die Konzepte klar voneinander abgegrenzt bleiben. Die Darstellung ist logisch aufgebaut und gut nachvollziehbar, sodass trotz der kleinen Auslassung keine Rückfrage erforderlich ist.",0,2
46,Welche Rolle spielen Aktivierungsfunktionen in neuronalen Netzen?,"Aktivierungsfunktionen führen Nichtlinearität in neuronale Netze ein, wodurch sie komplexe Zuordnungen zwischen Eingaben und Ausgaben lernen können. Häufig verwendete Aktivierungsfunktionen sind Sigmoid, Tanh, ReLU und Softmax.",4,Aktivierungsfunktionen; Nichtlinearität; neuronale Netze; Lernen komplexer Zuordnungen; Sigmoid; Tanh; ReLU; Softmax,"Aktivierungsfunktionen sind entscheidend für neuronale Netze, da sie die notwendige Nichtlinearität einführen. Diese Nichtlinearität ermöglicht es den Modellen, komplexe Beziehungen zwischen Eingaben und Ausgaben zu erfassen und darzustellen. Einige häufig genutzte Aktivierungsfunktionen umfassen Sigmoid, Tanh und ReLU, wobei letztere besonders bei tiefen neuronalen Netzwerken beliebt ist. Die Softmax-Funktion wird oft in der letzten Schicht verwendet, wenn es darum geht, Wahrscheinlichkeiten für Klassifizierungsaufgaben zu ermitteln.",4,"Die Antwort beschreibt die Rolle von Aktivierungsfunktionen fachlich korrekt und vollständig. Alle relevanten Schlüsselbegriffe werden richtig und im passenden Kontext verwendet. Sämtliche wesentlichen Aspekte der Fragestellung werden behandelt, ohne dass zentrale Punkte offenbleiben. Die Konzepte sind klar voneinander abgegrenzt und die Darstellung ist logisch aufgebaut sowie gut nachvollziehbar, sodass keine Rückfrage erforderlich ist.",0,3
47,Welche Rolle spielen LSTMs in sequenzbasierten Modellierungsaufgaben?,"Long Short-Term Memory (LSTM) Netzwerke sind eine Art rekurrenter neuronaler Netze, die so konzipiert wurden, um langfristige Abhängigkeiten und zeitliche Dynamiken in sequenziellen Daten zu erfassen. Dadurch eignen sie sich hervorragend für Aufgaben wie Sprachmodellierung und Zeitreihenvorhersage.",6,Long Short-Term Memory; rekurrenter neuronaler Netzwerk; langfristige Abhängigkeiten; zeitliche Dynamiken; sequenzielle Daten,"Long Short-Term Memory Netzwerke sind spezielle Formen von rekurrenten neuronalen Netzen, die entwickelt wurden, um langfristige Abhängigkeiten in sequentiellen Daten zu erkennen und darzustellen. Sie sind besonders geeignet für Aufgaben wie Sprachmodellierung und Zeitreihenvorhersage.","5,5","Die Antwort beschreibt LSTMs in ihren Kernaspekten fachlich korrekt und ohne inhaltliche Fehler. Bis auf den Begriff „zeitliche Dynamik“ werden alle relevanten Schlüsselbegriffe korrekt und im passenden Kontext verwendet. Alle wesentlichen Aspekte der Fragestellung werden behandelt, sodass deutlich wird, dass der Student das Konzept verstanden hat. Die Darstellung ist klar abgegrenzt, logisch aufgebaut und gut nachvollziehbar, weshalb trotz der kleinen Auslassung keine Rückfrage erforderlich ist.",0,2
48,Was ist der F1-Score und warum ist er nützlich bei der Modellbewertung?,"Der F1-Score ist die harmonische Mittelwertbildung von Präzision und Rückruf und bietet eine einzige Kennzahl zur Bewertung der Leistung eines Klassifikators, indem sowohl Präzision als auch Rückruf ausbalanciert werden. Er ist besonders nützlich bei ungleichmäßigen Datensätzen, bei denen eine Klasse viel häufiger vorkommt als die anderen.",6,F1-Score; harmonische Mittelwertbildung; Präzision; Rückruf; Modellbewertung; ungleichmäßige Datensätze,"Der F1-Score ist ein Maß zur Bewertung der Modellleistung, das den harmonischen Mittelwert von Präzision und Rückruf darstellt. Er liefert eine einzige Kennzahl, die sowohl die Präzision als auch den Rückruf berücksichtigt. Diese Balance macht ihn besonders wertvoll bei ungleichmäßigen Datensätzen, in denen eine Klasse wesentlich seltener auftritt als andere.",6,"Die Antwort erläutert den F1-Score fachlich korrekt und ohne inhaltliche Fehler. Alle relevanten Schlüsselbegriffe werden genannt und im richtigen Kontext verwendet. Sämtliche wesentlichen Aspekte der Fragestellung werden vollständig abgedeckt, ohne dass zentrale Punkte offenbleiben. Die Konzepte sind klar voneinander abgegrenzt und die Darstellung ist logisch sowie gut nachvollziehbar, sodass keine Rückfrage erforderlich ist.",0,2
49,Was ist der Zweck von Wortembedding in der natürlichen Sprachverarbeitung (NLP)?,"Wortembedding ist eine Technik, die Wörter als dichte Vektoren in einem kontinuierlichen Vektorraum darstellt und dabei semantische Beziehungen zwischen den Worten erfasst. Dies ermöglicht neuronalen Netzwerken das effektivere Verarbeiten von Textdaten.",6,Wortembedding; dichte Vektoren; kontinuierlicher Vektorraum; semantische Beziehungen; neuronale Netze,Mit Wortembedding werden Wörter als Zahlen dargestellt. Damit können neuronale Netze mit Texten umgehen.,3,"Die Antwort geht zwar in die richtige Richtung und enthält keine eindeutig falschen Aussagen, bleibt jedoch inhaltlich unvollständig. Es werden nur zwei der relevanten Schlüsselbegriffe verwendet, sodass zentrale Aspekte wie die Darstellung von Wörtern als dichte Vektoren in einem kontinuierlichen Vektorraum und die Erfassung semantischer Beziehungen fehlen. Dadurch bleiben wesentliche Punkte der Fragestellung unbeantwortet, auch wenn die genannten Konzepte nicht miteinander vermischt werden. Die Formulierung ist grundsätzlich verständlich, lässt jedoch offen, ob der Student das Konzept wirklich durchdrungen hat, weshalb eine Rückfrage sinnvoll wäre, etwa zur Repräsentation von Wörtern und den erfassten Beziehungen.",2,2
50,Was ist der Zweck von Sentiment-Analyse in der natürlichen Sprachverarbeitung (NLP)?,"Sentimentanalyse ist eine Aufgabe der natürlichen Sprachverarbeitung, die darin besteht, die im Text ausgedrückte Stimmung oder Meinung zu bestimmen, wie z.B. positiv, negativ oder neutral. Sie wird häufig verwendet, um Kundenrezensionen, Social-Media-Posts und Umfrageantworten zu analysieren.",5,"Sentimentanalyse; natürliche Sprachverarbeitung (NLP); Stimmung oder Meinung; positiv, negativ, neutral; Kundenrezensionen, Social-Media-Posts, Umfrageantworten","Sentimentanalyse befasst sich hauptsächlich mit Daten in Textform und konzentriert sich dabei darauf, wie die Stimmung in diesen Daten ist.",2,"Die Antwort vermittelt zwar das grundlegende Konzept der Sentimentanalyse, bleibt jedoch inhaltlich oberflächlich und unvollständig. Wesentliche Aspekte wie die möglichen Ausprägungen des Sentiments (positiv, negativ, neutral) sowie typische Anwendungsbereiche werden nicht genannt. Zudem werden nur wenige der relevanten Schlüsselbegriffe verwendet, sodass unklar bleibt, ob der Student das Thema umfassend verstanden hat. Obwohl die Konzepte nicht miteinander vermischt werden und die Antwort grundsätzlich nachvollziehbar ist, bestehen deutliche Lücken, weshalb eine Rückfrage zu den Sentiment-Ausprägungen oder zu konkreten Einsatzfeldern sinnvoll wäre.",1,0
