,question,answer,max_points,keywords,classification,original_question,original_answer
57,Was ist der Unterschied zwischen Klassifikation und Clusterbildung?,"Klassifikation ist eine überwachte Lernaufgabe, bei der das Ziel darin besteht, kategoriale Labels oder Klassen vorherzusagen. Clustering ist eine unüberwachte Lernaufgabe, deren Ziel es ist, ähnliche Datenpunkte aufgrund ihrer Merkmale zusammenzufassen.",5,Klassifikation; überwachte Lernens; Klassen vorhersagen; Clustering; unüberwachte Lernens; Daten zusammenfassen,Hauptfrage,What is the difference between classification and clustering?,"Classification is a supervised learning task where the goal is to predict categorical labels or classes, while clustering is an unsupervised learning task where the goal is to group similar data points together based on their features."
58,Was ist der Zweck von Principal Component Analysis (PCA) bei der Dimensionsreduktion?,"Principal Component Analysis (PCA) wird verwendet, um die Dimensionalität eines Datensatzes zu reduzieren, indem die ursprünglichen Merkmale in eine neue Menge orthogonaler Hauptkomponenten transformiert werden, welche die maximale Varianz im Datenmaterial erfassen.",6,Principal Component Analysis; Dimensionsreduktion; orthogonale Hauptkomponenten; maximale Varianz,Hauptfrage,What is the purpose of Principal Component Analysis (PCA) in dimensionality reduction?,"Principal Component Analysis (PCA) is used to reduce the dimensionality of a dataset by transforming the original features into a new set of orthogonal principal components, which capture the maximum variance in the data."
59,Welche Rolle spielt Regularisierung in neuronalen Netzen?,"Regularisierung in neuronalen Netzen hilft, Überanpassung zu verhindern, indem Strafterme zur Verlustfunktion hinzugefügt werden. Dies fördert einfachere Modelle mit kleineren Gewichten oder weniger Verbindungen.",6,Regularisierung; neuronale Netze; Überanpassung; Strafterme; Verlustfunktion; einfache Modelle; Gewichte; Verbindungen,Hauptfrage,What is the role of regularization in neural networks?,"Regularization in neural networks helps prevent overfitting by adding penalty terms to the loss function, encouraging simpler models with smaller weights or fewer connections."
60,Was ist Dropout-Regularisierung in neuronalen Netzen?,"Dropout-Regularisierung ist eine Technik, die in neuronalen Netzen verwendet wird, um Überanpassung zu reduzieren. Dies geschieht durch das zufällige Ausschalten eines Bruchteils von Neuronen während des Trainings, wodurch das Netzwerk gezwungen wird, robustere Repräsentationen zu lernen.",5,Dropout-Regularisierung; neuronale Netze; Überanpassung; zufälliges Ausschalten von Neuronen,Hauptfrage,What is dropout regularization in neural networks?,"Dropout regularization is a technique used in neural networks to reduce overfitting by randomly dropping out a fraction of neurons during training, forcing the network to learn more robust representations."
61,Was ist der Unterschied zwischen einem generativen adversarialen Netzwerk (GAN) und einem variationalen Autoencoder (VAE)?,"Generative adversariale Netze (GANs) bestehen aus zwei neuronalen Netzen (Generator und Diskriminator), die gegeneinander antreten, um realistische Datenproben zu erzeugen. Variationale Autoencoder (VAEs) lernen ein probabilistisches Modell der latenten Raumverteilung der Daten und generieren neue Proben durch Sampling aus dieser Verteilung.",5,generatives adversariales Netzwerk; Generator; Diskriminator; variationaler Autoencoder; latenter Raum; probabilistisches Modell,Hauptfrage,What is the difference between a generative adversarial network (GAN) and a variational autoencoder (VAE)?,"Generative adversarial networks (GANs) consist of two neural networks (generator and discriminator) that compete with each other to generate realistic data samples, while variational autoencoders (VAEs) learn a probabilistic model of the data's latent space and generate new samples by sampling from this distribution."
62,Was ist der Unterschied zwischen Batch Gradient Descent und Mini-Batch Gradient Descent?,"Batch Gradient Descent berechnet die Ableitung der Kostenfunktion unter Verwendung des gesamten Trainingsdatensatzes, während Mini-Batch Gradient Descent die Ableitung mit einem zufällig ausgewählten Teilmenge (Mini-Batch) des Trainingsdatensatzes berechnet.",5,Batch Gradient Descent; Mini-Batch Gradient Descent; gesamter Trainingsdatensatz; zufällige Teilmenge,Hauptfrage,What is the difference between batch gradient descent and mini-batch gradient descent?,"Batch gradient descent computes the gradient of the cost function using the entire training dataset, while mini-batch gradient descent computes the gradient using a randomly selected subset (mini-batch) of the training data."
63,Welche Rolle spielen Aktivierungsfunktionen in neuronalen Netzen?,"Aktivierungsfunktionen führen Nichtlinearität in neuronale Netze ein, wodurch sie komplexe Zuordnungen zwischen Eingaben und Ausgaben lernen können. Häufig verwendete Aktivierungsfunktionen sind Sigmoid, Tanh, ReLU und Softmax.",4,Aktivierungsfunktionen; Nichtlinearität; neuronale Netze; Lernen komplexer Zuordnungen; Sigmoid; Tanh; ReLU; Softmax,Hauptfrage,What is the role of activation functions in neural networks?,"Activation functions introduce non-linearity into neural networks, allowing them to learn complex mappings between inputs and outputs. Common activation functions include sigmoid, tanh, ReLU, and softmax."
64,Was ist der Unterschied zwischen generativen und diskriminierenden Modellen im maschinellen Lernen?,"Generative Modelle lernen die gemeinsame Wahrscheinlichkeitsverteilung der Eingangsmerkmale und Zielvariablen, während diskriminierende Modelle die bedingte Wahrscheinlichkeitsverteilung der Zielvariablen gegeben den Eingangsmerkmalen lernen.",6,generative Modelle; diskriminierende Modelle; gemeinsame Wahrscheinlichkeitsverteilung; bedingte Wahrscheinlichkeitsverteilung,Hauptfrage,What is the difference between generative and discriminative models in machine learning?,"Generative models learn the joint probability distribution of the input features and the target labels, while discriminative models learn the conditional probability distribution of the target labels given the input features."
65,Was ist der Zweck von Dropout-Regularisierung in neuronalen Netzen?,"Dropout-Regularisierung ist eine Technik, die in neuronalen Netzen verwendet wird, um Überanpassung zu verhindern, indem während des Trainings zufällig ein Bruchteil der Neuronen ausgeschaltet wird. Dies zwingt das Netzwerk dazu, robustere Repräsentationen zu lernen.",5,Dropout-Regularisierung; Überanpassung; Neuronen ausschalten; robuste Repräsentationen,Hauptfrage,What is the purpose of dropout regularization in neural networks?,"Dropout regularization is a technique used in neural networks to prevent overfitting by randomly dropping out a fraction of neurons during training, forcing the network to learn more robust representations."
66,Welche Rolle spielen LSTMs in sequenzbasierten Modellierungsaufgaben?,"Long Short-Term Memory (LSTM) Netzwerke sind eine Art rekurrenter neuronaler Netze, die so konzipiert wurden, um langfristige Abhängigkeiten und zeitliche Dynamiken in sequenziellen Daten zu erfassen. Dadurch eignen sie sich hervorragend für Aufgaben wie Sprachmodellierung und Zeitreihenvorhersage.",6,Long Short-Term Memory; rekurrenter neuronaler Netzwerk; langfristige Abhängigkeiten; zeitliche Dynamiken; sequenzielle Daten,Hauptfrage,What is the role of LSTMs in sequence modeling tasks?,"Long Short-Term Memory (LSTM) networks are a type of recurrent neural network (RNN) designed to capture long-range dependencies and temporal dynamics in sequential data, making them well-suited for tasks such as language modeling and time series prediction."
67,Was ist der Unterschied zwischen Präzision und Recall bei Klassifikationsaufgaben?,"Präzision misst den Anteil der wahren positiven Vorhersagen unter allen positiv vorhergesagten Instanzen eines Klassifizierers, während Recall den Anteil der wahren positiven Vorhersagen unter allen tatsächlich positiven Instanzen im Datensatz misst.",4,Präzision; Recall; wahre positive Vorhersagen; positive Vorhersagen; tatsächlich positive Instanzen,Hauptfrage,What is the difference between precision and recall in classification tasks?,"Precision measures the proportion of true positive predictions among all positive predictions made by a classifier, while recall measures the proportion of true positive predictions among all actual positive instances in the data."
68,Was ist der F1-Score und warum ist er nützlich bei der Modellbewertung?,"Der F1-Score ist die harmonische Mittelwertbildung von Präzision und Rückruf und bietet eine einzige Kennzahl zur Bewertung der Leistung eines Klassifikators, indem sowohl Präzision als auch Rückruf ausbalanciert werden. Er ist besonders nützlich bei ungleichmäßigen Datensätzen, bei denen eine Klasse viel häufiger vorkommt als die anderen.",6,F1-Score; harmonische Mittelwertbildung; Präzision; Rückruf; Modellbewertung; ungleichmäßige Datensätze,Hauptfrage,"What is the F1 score, and why is it useful in model evaluation?","The F1 score is the harmonic mean of precision and recall and provides a single metric to evaluate the performance of a classifier, balancing both precision and recall. It is particularly useful for imbalanced datasets where one class is much more prevalent than the others."
69,Was ist der Zweck von Wortembedding in der natürlichen Sprachverarbeitung (NLP)?,"Wortembedding ist eine Technik, die Wörter als dichte Vektoren in einem kontinuierlichen Vektorraum darstellt und dabei semantische Beziehungen zwischen den Worten erfasst. Dies ermöglicht neuronalen Netzwerken das effektivere Verarbeiten von Textdaten.",6,Wortembedding; dichte Vektoren; kontinuierlicher Vektorraum; semantische Beziehungen; neuronale Netze,Hauptfrage,What is the purpose of word embedding in natural language processing (NLP)?,"Word embedding is a technique used to represent words as dense vectors in a continuous vector space, capturing semantic relationships between words and enabling neural networks to process textual data more effectively."
70,Was ist der Unterschied zwischen word2vec und GloVe bei der Wort-Embedding?,"Word2Vec ist ein Modell, das Wort-Einbettungen lernt, indem es die umgebenden Wörter in einem Textkorpus vorhersagt. Im Gegensatz dazu lernt GloVe (Global Vectors for Word Representation) durch die Faktorisierung der Ko-Keimbegriffs-Matrix von Wörtern im Korpus.",5,Word2Vec; Vorhersage; umgebende Wörter; GloVe; Ko-Keimbegriffsmatrix; Faktorisierung,Hauptfrage,What is the difference between word2vec and GloVe in word embedding?,"Word2Vec is a model that learns word embeddings by predicting the surrounding words in a text corpus, while GloVe (Global Vectors for Word Representation) learns word embeddings by factorizing the co-occurrence matrix of words in the corpus."
71,Was ist der Zweck von Sentiment-Analyse in der natürlichen Sprachverarbeitung (NLP)?,"Sentimentanalyse ist eine Aufgabe der natürlichen Sprachverarbeitung, die darin besteht, die im Text ausgedrückte Stimmung oder Meinung zu bestimmen, wie z.B. positiv, negativ oder neutral. Sie wird häufig verwendet, um Kundenrezensionen, Social-Media-Posts und Umfrageantworten zu analysieren.",5,"Sentimentanalyse; natürliche Sprachverarbeitung (NLP); Stimmung oder Meinung; positiv, negativ, neutral; Kundenrezensionen, Social-Media-Posts, Umfrageantworten",Hauptfrage,What is the purpose of sentiment analysis in natural language processing (NLP)?,"Sentiment analysis is a natural language processing task that involves determining the sentiment or opinion expressed in a piece of text, such as positive, negative, or neutral. It is commonly used to analyze customer reviews, social media posts, and survey responses."
72,Was ist der Unterschied zwischen Shallow Learning und Deep Learning?,"Shallow Learning bezieht sich auf traditionelle maschinelle Lernalgorithmen mit einer geringen Anzahl an Schichten oder Merkmalen, während Deep Learning neuronale Netze mit mehreren Schichten umfasst, die hierarchische Repräsentationen der Daten lernen können.",5,Shallow Learning; traditionelle maschinelle Lernalgorithmen; Deep Learning; neuronale Netze; Schichten; Merkmale,Hauptfrage,What is the difference between shallow learning and deep learning?,"Shallow learning refers to traditional machine learning algorithms with a small number of layers or features, while deep learning involves neural networks with multiple layers that can learn hierarchical representations of the data."
73,Welche Rolle spielt die Dropout-Regularisierung in neuronalen Netzen?,"Dropout-Regularisierung ist eine Technik, die in neuronalen Netzen verwendet wird, um das Überanpassen zu verhindern. Dies geschieht durch das zufällige Ausschalten eines Bruchteils der Neuronen während des Trainings, wodurch das Netzwerk gezwungen wird, robustere Repräsentationen zu lernen.",6,Dropout-Regularisierung; Überanpassung; zufälliges Ausschalten; Neuronen; robuste Repräsentationen,Hauptfrage,What is the role of dropout regularization in neural networks?,"Dropout regularization is a technique used in neural networks to prevent overfitting by randomly dropping out a fraction of neurons during training, forcing the network to learn more robust representations."
74,Was ist der Unterschied zwischen Präzision und Genauigkeit bei der Modellbewertung?,"Präzision misst den Anteil der wahren positiven Vorhersagen unter allen positiven Vorhersagen, die ein Klassifizierer trifft. Genauigkeit misst hingegen den Anteil der korrekten Vorhersagen (sowohl wahre Positive als auch wahre Negative) unter allen getroffenen Vorhersagen.",5,Präzision; Genauigkeit; wahre positive Vorhersagen; korrekte Vorhersagen,Hauptfrage,What is the difference between precision and accuracy in model evaluation?,"Precision measures the proportion of true positive predictions among all positive predictions made by a classifier, while accuracy measures the proportion of correct predictions (both true positives and true negatives) among all predictions made by the classifier."
75,Was ist der Unterschied zwischen k-facher Kreuzvalidierung und Leave-One-Out-Kreuzvalidierung?,"Die k-fache Kreuzvalidierung teilt die Daten in k Untergruppen auf und trainiert das Modell k-mal, wobei jedes Mal eine andere Untergruppe als Validierungsset dient. Die Leave-One-Out-Kreuzvalidierung trainiert das Modell hingegen n-mal (wobei n die Anzahl der Datenpunkte ist), indem sie jeweils alle bis auf einen Datenpunkt als Trainingsset verwendet und den verbleibenden Punkt als Validierungsset.",6,k-fache Kreuzvalidierung; Leave-One-Out-Kreuzvalidierung; Untergruppen; Validierungsset; Trainingsset,Hauptfrage,What is the difference between k-fold cross-validation and leave-one-out cross-validation?,"K-fold cross-validation divides the data into k subsets and iteratively trains the model k times, each time using a different subset as the validation set, while leave-one-out cross-validation trains the model k times, each time using all but one data point as the training set and the remaining point as the validation set."
76,Was ist der Naive Bayes-Klassifikator und wie funktioniert er?,"Der Naive-Bayes-Klassifikator ist ein probabilistisches Modell, das auf dem Bayes'schen Theorem mit der ""naiven"" Annahme der Unabhängigkeit der Merkmale basiert. Er berechnet die Wahrscheinlichkeit einer Klasse gegeben die Eingabemerkmale durch das Produkt von bedingten Wahrscheinlichkeiten.",4,Naive Bayes-Klassifikator; probabilistisches Modell; Bayes'sches Theorem; naive Annahme; Merkmale Unabhängigkeit; bedingte Wahrscheinlichkeiten,Hauptfrage,What is the Naive Bayes classifier and how does it work?,"The Naive Bayes classifier is a probabilistic model based on Bayes' theorem with the ""naive"" assumption of feature independence. It calculates the probability of a class given the input features using the product of conditional probabilities."
77,Was ist der Unterschied zwischen Korrelation und Kovarianz?,"Die Kovarianz misst den Grad, in dem sich zwei Variablen gemeinsam verändern, während die Korrelation sowohl die Stärke als auch die Richtung der linearen Beziehung zwischen zwei Variablen misst.",5,Kovarianz; Korrelation; Grad der Veränderung; Stärke und Richtung,Hauptfrage,What is the difference between correlation and covariance?,"Covariance measures the degree to which two variables change together, while correlation measures both the strength and direction of the linear relationship between two variables."
78,Was ist der Zweck einer Konfusionsmatrix in Klassifikationsaufgaben?,"Eine Konfusionsmatrix ist eine Tabelle, die die Leistung eines Klassifikationsmodells visualisiert, indem sie vorhergesagte Klasseinstanzen mit tatsächlichen vergleicht. Sie zeigt die Anzahl der wahren Positiven, wahren Negativen, falschen Positiven und falschen Negativen.",4,Konfusionsmatrix; Klassifikationsmodell; wahre Positive; wahre Negative; falsche Positive; falsche Negative,Hauptfrage,What is the purpose of a confusion matrix in classification tasks?,"A confusion matrix is a table that visualizes the performance of a classification model by comparing predicted class labels with true class labels. It shows the number of true positives, true negatives, false positives, and false negatives."
79,Was ist der Unterschied zwischen gestuftem Stichproben und Zufallsstichprobe?,"Gestufte Stichproben teilen die Grundgesamtheit in homogene Teilgruppen (Strata) auf und entnehmen jeder Stratum proportional Stichproben, während die Zufallsstichprobe Individuen zufällig aus der gesamten Population auswählt, ohne Rücksicht auf Strata.",5,gestuftes Stichprobenn; homogene Teilgruppen; proportionale Stichprobenentnahme; Zufallsstichprobe; Grundgesamtheit; Strata,Hauptfrage,What is the difference between stratified sampling and random sampling?,"Stratified sampling divides the population into homogeneous subgroups (strata) and samples from each stratum proportionally, while random sampling selects individuals randomly from the entire population without regard to strata."
80,"Was ist der Unterschied zwischen univariater, bivariater und multivariater Analyse?",Univariate Analyse untersucht die Verteilung und deskriptive Statistik einer einzelnen Variablen. Bivariate Analyse erforscht den Zusammenhang zwischen zwei Variablen. Multivariate Analyse beinhaltet das gleichzeitige Analysieren mehrerer Variablen.,5,univariate; bivariate; multivariate; Verteilung; deskriptive Statistik; Zusammenhang,Hauptfrage,"What is the difference between univariate, bivariate, and multivariate analysis?","Univariate analysis examines the distribution and summary statistics of a single variable, bivariate analysis explores the relationship between two variables, and multivariate analysis involves analyzing multiple variables simultaneously."
81,Was ist der Zweck der Datenvorverarbeitung im maschinellen Lernen?,"Datenvorverarbeitung umfasst das Bereinigen, Transformieren und Vorbereiten von Rohdaten für maschinelle Lernalgorithmen. Dazu gehören Aufgaben wie das Umgang mit fehlenden Werten, die Kodierung kategorialer Variablen und das Skalieren von Merkmalen.",6,Datenvorverarbeitung; Bereinigen; Transformieren; Vorbereiten; Rohdaten; maschinelle Lernalgorithmen; fehlende Werte; Kodierung kategorialer Variablen; Skalieren von Merkmalen,Hauptfrage,What is the purpose of data preprocessing in machine learning?,"Data preprocessing involves cleaning, transforming, and preparing raw data for machine learning algorithms. It includes tasks such as handling missing values, encoding categorical variables, and scaling features."
82,Was ist der Bias eines statistischen Schätzers?,Der Bias eines statistischen Schätzers misst den Unterschied zwischen dem erwarteten Wert des Schätzers und dem wahren Wert des geschätzten Parameters. Ein verzerrter Schätzer überschätzt oder unterschätzt den wahren Parameterwert systematisch.,4,Bias; statistischer Schätzer; erwarteter Wert; wahrer Wert; verzerrt,Hauptfrage,What is the bias of a statistical estimator?,The bias of a statistical estimator measures the difference between the expected value of the estimator and the true value of the parameter being estimated. A biased estimator systematically overestimates or underestimates the true parameter value.
83,Was ist die Varianz eines statistischen Schätzers?,"Die Varianz eines statistischen Schätzers misst die Streuung oder Variabilität der Werte des Schätzers um seinen erwarteten Wert. Eine hohe Varianz zeigt an, dass die Werte des Schätzers weit verstreut sind, während eine niedrige Varianz darauf hinweist, dass die Werte dicht beieinander liegen.",4,Varianz; statistischer Schätzer; Streuung; Variabilität; erwarteter Wert,Hauptfrage,What is the variance of a statistical estimator?,"The variance of a statistical estimator measures the spread or variability of the estimator's values around its expected value. A high variance indicates that the estimator's values are scattered widely, while a low variance indicates that the values are clustered closely together."
84,Was ist der Unterschied zwischen parametrischen und nicht-parametrischen statistischen Tests?,"Parametrische statistische Tests gehen davon aus, dass die Daten einer spezifischen Wahrscheinlichkeitsverteilung (z. B. Normalverteilung) folgen, während nicht-parametrische Tests keine solchen Annahmen treffen und auf Rängen oder Häufigkeiten basieren.",6,parametrisch; nicht-parametrisch; Wahrscheinlichkeitsverteilung; Normalverteilung; Ränge; Häufigkeiten,Hauptfrage,What is the difference between parametric and non-parametric statistical tests?,"Parametric statistical tests assume that the data follows a specific probability distribution (e.g., normal distribution), while non-parametric tests make no such assumptions and are based on ranks or frequencies."
85,Was ist der Zweck der Merkmalsbereinigung in der maschinellen Lerntechnik?,"Die Merkmalsbereinigung stellt sicher, dass alle Merkmale die gleiche Skala oder den gleichen Bereich haben und verhindert so, dass bestimmte Merkmale während des Modelltrainings andere dominiert. Häufige Bereinigungsverfahren sind Min-Max-Bereinigung und Standardisierung.",5,Merkmalsbereinigung; Skala; Bereich; Dominanz; Modelltraining; Min-Max-Bereinigung; Standardisierung,Hauptfrage,What is the purpose of feature scaling in machine learning?,"Feature scaling ensures that all features have the same scale or range, preventing certain features from dominating others during model training. Common scaling techniques include min-max scaling and standardization."
86,Was ist der Unterschied zwischen Korrelation und Kausalität in der Statistik?,"Korrelation misst die Stärke und Richtung der linearen Beziehung zwischen zwei Variablen, während Kausalität anzeigt, dass Änderungen in einer Variablen direkt Änderungen in einer anderen Variable verursachen.",4,Korrelation; Kausalität; lineare Beziehung; direkte Ursache,Hauptfrage,What is the difference between correlation and causation in statistics?,"Correlation measures the strength and direction of the linear relationship between two variables, while causation indicates that changes in one variable directly cause changes in another variable."
87,Was ist der Zentrale Grenzwertsatz und warum ist er wichtig?,"Der Zentrale Grenzwertsatz besagt, dass die Stichprobenverteilung des Stichprobendurchschnitts einer Normalverteilung annähert, wenn die Stichprobengröße zunimmt, unabhängig von der Form der Grundgesamtheit. Er ist wichtig, weil er es uns ermöglicht, Aussagen über Populationsparameter auf Basis von Stichprobenstatistiken zu treffen.",5,Zentrale Grenzwertsatz; Stichprobenverteilung; Normalverteilung; Stichprobengröße; Grundgesamtheit; Populationsparameter; Stichprobenstatistik,Hauptfrage,What is the Central Limit Theorem and why is it important?,"The Central Limit Theorem states that the sampling distribution of the sample mean approaches a normal distribution as the sample size increases, regardless of the shape of the population distribution. It is important because it allows us to make inferences about population parameters based on sample statistics."
88,Was ist der Zweck der Ausreißererkennung in der Datenanalyse?,"Die Ausreißererkennung beinhaltet die Identifizierung von Beobachtungen, die sich signifikant vom Rest der Daten unterscheiden. Ausreißer können statistische Analysen und maschinelle Lernmodelle verzerren, daher ist es wichtig, sie angemessen zu erkennen und zu behandeln, um genaue Ergebnisse zu erzielen.",4,Ausreißererkennung; Beobachtungen; signifikant abweichen; statistische Analysen; maschinelle Lernmodelle; verzerren; erkennen; behandeln,Hauptfrage,What is the purpose of outlier detection in data analysis?,"Outlier detection involves identifying observations that deviate significantly from the rest of the data. Outliers can distort statistical analyses and machine learning models, so detecting and handling them appropriately is important for accurate results."
89,Was ist der Unterschied zwischen überwachten und unüberwachten Ausreißererkennungsverfahren?,"Überwachte Ausreißererkennungsverfahren erfordern gelabeltes Datenmaterial mit Ausreißerbezeichnungen, während unüberwachte Verfahren Ausreißer anhand der Eigenschaften des Datensatzes selbst erkennen und keine gelabelten Beispiele benötigen.",6,übersichtliche Ausreißererkennungsverfahren; überwacht; unüberwacht; gelabeltes Datenmaterial; Ausreißerbezeichnungen; Eigenschaften des Datensatzes,Hauptfrage,What is the difference between supervised and unsupervised outlier detection methods?,"Supervised outlier detection methods require labeled data with outlier labels, while unsupervised methods detect outliers based on the characteristics of the data itself without requiring labeled examples."
90,Was ist der Unterschied zwischen statistischer Inferenz und prädiktiver Modellierung?,"Statistische Inferenz beinhaltet das Ziehen von Schlussfolgerungen über eine Population auf Basis einer Stichprobe, während die prädiktive Modellierung darauf abzielt, Modelle zu entwickeln, die Vorhersagen über zukünftige oder nicht gesehene Daten treffen können, basierend auf vergangenen Beobachtungen.",6,statistische Inferenz; prädiktive Modellierung; Schlussfolgerung; Population; Stichprobe; Modelle; Vorhersagen; zukünftige Daten,Hauptfrage,What is the difference between statistical inference and predictive modeling?,"Statistical inference involves drawing conclusions about a population based on a sample of data, while predictive modeling focuses on building models that make predictions about future or unseen data based on past observations."
91,Was ist der Zweck von Regularisierung im maschinellen Lernen?,"Regularisierung ist eine Technik, um Überanpassung zu verhindern, indem ein Strafterm zur Zielfunktion des Modells hinzugefügt wird, was komplexe Modelle unattraktiv macht. Häufig verwendete Regularisierungstechniken sind L1-Regularisierung (Lasso) und L2-Regularisierung (Ridge).",6,Regularisierung; Überanpassung; Strafterm; Zielfunktion; L1-Regularisierung; L2-Regularisierung; Komplexität; Modell; Lasso; Ridge,Hauptfrage,What is the purpose of regularization in machine learning?,"Regularization is a technique used to prevent overfitting by adding a penalty term to the model's objective function, discouraging overly complex models. Common regularization techniques include L1 regularization (Lasso) and L2 regularization (Ridge)."
92,Was ist der Unterschied zwischen Batch Gradient Descent und Stochastic Gradient Descent?,"Batch Gradient Descent aktualisiert die Modellparameter unter Verwendung des Durchschnittsgradienten des gesamten Trainingsdatensatzes, während Stochastic Gradient Descent Parameter unter Verwendung des Gradienten eines einzigen zufällig ausgewählten Datenpunkts oder Mini-Batches aktualisiert.",4,Batch Gradient Descent; Stochastic Gradient Descent; Durchschnittsgradient; einzelner Datenpunkt; Mini-Batch,Hauptfrage,What is the difference between batch gradient descent and stochastic gradient descent?,"Batch gradient descent updates model parameters using the average gradient of the entire training dataset, while stochastic gradient descent updates parameters using the gradient of a single randomly selected data point or mini-batch."
93,Was ist der Unterschied zwischen statistischem Modellieren und Maschinellem Lernen?,"Statistisches Modellieren konzentriert sich darauf, die Beziehungen zwischen Variablen in einem probabilistischen Rahmen zu verstehen, während maschinelles Lernen den Schwerpunkt auf den Aufbau von Algorithmen legt, die Muster erkennen und Vorhersagen aus Daten treffen können, ohne dass sie explizit programmiert wurden.",4,statistisches Modellieren; Maschinelles Lernen; probabilistischer Rahmen; Algorithmen; Mustererkennung,Hauptfrage,What is the difference between statistical modeling and machine learning?,"Statistical modeling focuses on understanding the relationships between variables in a probabilistic framework, while machine learning emphasizes building algorithms that can learn patterns and make predictions from data without explicitly programming them."
94,Was ist der Zweck der Merkmalsauswahl im maschinellen Lernen?,"Die Merkmalsauswahl beinhaltet die Auswahl der relevantesten Merkmale aus einem Datensatz, um die Modellleistung zu verbessern, Overfitting zu reduzieren und die Interpretierbarkeit zu erhöhen.",5,Merkmalsauswahl; relevante Merkmale; Modellleistung; Overfitting; Interpretierbarkeit,Hauptfrage,What is the purpose of feature selection in machine learning?,"Feature selection involves selecting the most relevant features from a dataset to improve model performance, reduce overfitting, and enhance interpretability."
95,Was ist der Unterschied zwischen Regularisierung und Merkmalsauswahl im maschinellen Lernen?,"Die Regularisierung bestraft übermäßig komplexe Modelle, indem sie einen Strafterm zur Zielfunktion hinzufügt, während die Merkmalsauswahl explizit eine Teilmenge von Merkmalen auswählt, um sie im Modell basierend auf ihrer Bedeutung oder Relevanz einzuschließen.",6,Regularisierung; Merkmalsauswahl; Strafterm; Zielfunktion; Merkmale,Hauptfrage,What is the difference between regularization and feature selection in machine learning?,"Regularization penalizes overly complex models by adding a penalty term to the objective function, while feature selection explicitly selects a subset of features to include in the model based on their importance or relevance."
96,Was ist der Unterschied zwischen Grid Search und Random Search zur Hyperparameter-Tuning?,"Der Grid Search durchsucht systematisch ein spezifiziertes Gitter von Hyperparametern, während der Random Search zufällig Hyperparametereinstellungen aus vordefinierten Verteilungen probiert.",5,Grid Search; Random Search; Hyperparameter-Tuning; systematisch; zufällig,Hauptfrage,What is the difference between grid search and random search for hyperparameter tuning?,"Grid search exhaustively searches through a specified grid of hyperparameter values, while random search samples hyperparameter values randomly from predefined distributions."
97,Was ist der Zweck von Kreuzvalidierung bei der Modellbewertung?,"Kreuzvalidierung ist eine Technik zur Bewertung der Leistung eines prädiktiven Modells, indem die Daten in mehrere Teilmengen aufgeteilt werden. Sie hilft dabei, den allgemeinen Fehler des Modells zu schätzen und Überanpassungen zu erkennen.",5,Kreuzvalidierung; prädiktives Modell; Leistungsbewertung; allgemeiner Fehler; Überanpassung,Hauptfrage,What is the purpose of cross-validation in model evaluation?,Cross-validation is a technique used to assess the performance of a predictive model by splitting the data into multiple subsets. It helps to estimate the model's generalization error and detect overfitting.
98,Was ist der Unterschied zwischen Präzision und Recall bei der Klassifikationsbewertung?,"Präzision misst den Anteil der wahren positiven Vorhersagen unter allen positiven Vorhersagen, die ein Klassifizierer trifft, während Recall den Anteil der wahren positiven Vorhersagen unter allen tatsächlichen positiven Instanzen in den Daten misst.",5,Präzision; Recall; wahre positive Vorhersagen; Klassifizierer,Hauptfrage,What is the difference between precision and recall in classification evaluation?,"Precision measures the proportion of true positive predictions among all positive predictions made by a classifier, while recall measures the proportion of true positive predictions among all actual positive instances in the data."
99,"Was ist der F1-Score, und warum ist er nützlich bei unbalancierten Datensätzen?","Der F1-Score ist die harmonische Mittelwert von Präzision und Recall und bietet eine einzige Metrik zur Bewertung der Leistung eines Klassifikators. Er ist besonders nützlich für unbalancierte Datensätze, bei denen eine Klasse viel häufiger vorkommt als andere.",5,F1-Score; harmonischer Mittelwert; Präzision; Recall; unbalancierte Datensätze,Hauptfrage,"What is the F1 score, and why is it useful in imbalanced datasets?",The F1 score is the harmonic mean of precision and recall and provides a single metric to evaluate the performance of a classifier. It is particularly useful for imbalanced datasets where one class is much more prevalent than the others.
100,Was ist der Unterschied zwischen den Ensemble-Methoden Bagging und Boosting?,"Bagging (Bootstrap Aggregating) baut mehrere Modelle unabhängig voneinander auf und kombiniert ihre Vorhersagen durch Mittelwertbildung oder Abstimmung, während Boosting Modelle sequentiell aufbaut, indem es den falsch klassifizierten Instanzen mehr Gewicht gibt.",6,Bagging; Bootstrap Aggregating; Boosting; unabhängig; kombinieren; Vorhersagen; Mittelwertbildung; Abstimmung; sequentiell; Gewicht,Hauptfrage,What is the difference between bagging and boosting ensemble methods?,"Bagging (Bootstrap Aggregating) builds multiple models independently and combines their predictions through averaging or voting, while boosting sequentially builds models by giving more weight to misclassified instances."
